task_id	ease	reps	interval_days	due	last_acc	last_wpm	last_seen	last_result_id
algorithms.l1.IsPalindrome	2.50	0	0	2026-08-04	-	-	-	0
algorithms.l2.TwoSumIndices	2.50	0	0	2026-08-04	-	-	-	0
collections.l1.ListRemoveWhileIterating	2.50	0	0	2026-08-04	-	-	-	0
collections.l1.MapGetOrDefault	2.50	0	0	2026-08-04	-	-	-	0
collections.l2.ComparatorChain	2.50	0	0	2026-08-04	-	-	-	0
collections.l3.ComputeIfAbsentIndex	2.50	0	0	2026-08-04	-	-	-	0
concurrency.l2.AtomicCounter	2.50	0	0	2026-08-04	-	-	-	0
concurrency.l2.CompletableFutureZip	2.50	0	0	2026-08-04	-	-	-	0
concurrency.l3.BoundedBufferWaitNotify	2.50	0	0	2026-08-04	-	-	-	0
patterns.l3.DiscountPolicyChain	2.50	0	0	2026-08-04	-	-	-	0
patterns.l4.IdempotentPaymentService	2.50	0	0	2026-08-04	-	-	-	0
streams.l1.ActiveCustomerNames	2.50	0	0	2026-08-04	-	-	-	0
streams.l1.CountCompleted	2.50	0	0	2026-08-04	-	-	-	0
streams.l2.AvgSalaryByDepartment	2.50	0	0	2026-08-04	-	-	-	0
streams.l2.EmailToCustomerMap	2.50	0	0	2026-08-04	-	-	-	0
streams.l3.FlatMapOrderItems	2.50	0	0	2026-08-04	-	-	-	0
streams.l3.GroupByTypeAndStatus	2.50	0	0	2026-08-04	-	-	-	0
kotlinlang.l1.ImmutableProfileUpdate	2.50	0	0	2026-08-04	-	-	-	0
kotlinlang.l1.NullSafeDisplayName	2.50	0	0	2026-08-04	-	-	-	0
kotlinlang.l2.AssociateLatestEvent	2.50	0	0	2026-08-04	-	-	-	0
kotlinlang.l2.LazySequenceWindow	2.50	0	0	2026-08-04	-	-	-	0
kotlinlang.l2.SealedResult	2.50	0	0	2026-08-04	-	-	-	0
kotlinlang.l3.ReifiedEventFilter	2.50	0	0	2026-08-04	-	-	-	0
kafka.l2.KeyedOrderListener	2.50	0	0	2026-08-04	-	-	-	0
kafka.l3.ManualAckListener	2.50	0	0	2026-08-04	-	-	-	0
kafka.l3.TombstoneAwareListener	2.50	0	0	2026-08-04	-	-	-	0
sql.l1.CountOrdersByStatus	2.50	0	0	2026-08-04	-	-	-	0
sql.l2.CustomersWithoutOrders	2.50	0	0	2026-08-04	-	-	-	0
sql.l2.GroupByHavingOrders	2.50	0	0	2026-08-04	-	-	-	0
sql.l3.MonthlyDeliveredRevenue	2.50	0	0	2026-08-04	-	-	-	0
sql.l3.RankCustomersBySpend	2.50	0	0	2026-08-04	-	-	-	0
springcore.l2.FindCustomerService	2.50	0	0	2026-08-04	-	-	-	0
springdata.l3.TransactionalOrderService	2.50	0	0	2026-08-04	-	-	-	0
springweb.l2.CreatedOrderResponse	2.50	0	0	2026-08-04	-	-	-	0
springweb.l3.ExceptionHandlerProblemDetail	2.50	0	0	2026-08-04	-	-	-	0
springweb.l3.ValidatedCreateCustomer	2.50	0	0	2026-08-04	-	-	-	0
